Countries,country_code,Indicies,Date,Value,Year,Month,Alpha-3 code
Turkey,186,Debt,1995-02-01,-89,1995,2,TUR
South Africa,199,Total,1995-02-01,-134.82577981264848,1995,2,ZAF
South Africa,199,Equity,1995-02-01,64.60401949356073,1995,2,ZAF
South Africa,199,Debt,1995-02-01,-199.42979930620922,1995,2,ZAF
Brazil,223,Total,1995-02-01,-27.985999999999997,1995,2,BRA
Brazil,223,Equity,1995-02-01,-76.39,1995,2,BRA
Brazil,223,Debt,1995-02-01,48.404,1995,2,BRA
Chile,228,Total,1995-02-01,,1995,2,CHL
Chile,228,Equity,1995-02-01,,1995,2,CHL
Chile,228,Debt,1995-02-01,,1995,2,CHL
Mexico,273,Total,1995-02-01,,1995,2,MEX
Mexico,273,Equity,1995-02-01,,1995,2,MEX
Mexico,273,Debt,1995-02-01,-1845.5,1995,2,MEX
Lebanon,446,Total,1995-02-01,,1995,2,LBN
Lebanon,446,Equity,1995-02-01,,1995,2,LBN
Lebanon,446,Debt,1995-02-01,,1995,2,LBN
Sri Lanka,524,Total,1995-02-01,,1995,2,LKA
Sri Lanka,524,Equity,1995-02-01,,1995,2,LKA
Sri Lanka,524,Debt,1995-02-01,,1995,2,LKA
India,534,Total,1995-02-01,,1995,2,IND
India,534,Equity,1995-02-01,,1995,2,IND
India,534,Debt,1995-02-01,,1995,2,IND
Korea,542,Total,1995-02-01,390.2,1995,2,KOR
Korea,542,Equity,1995-02-01,-198.2,1995,2,KOR
Korea,542,Debt,1995-02-01,588.4,1995,2,KOR
Malaysia,548,Total,1995-02-01,,1995,2,MYS
Malaysia,548,Equity,1995-02-01,,1995,2,MYS
Malaysia,548,Debt,1995-02-01,,1995,2,MYS
Pakistan,564,Total,1995-02-01,,1995,2,PAK
Pakistan,564,Equity,1995-02-01,,1995,2,PAK
Pakistan,564,Debt,1995-02-01,,1995,2,PAK
Philippines,566,Total,1995-02-01,,1995,2,PHL
Philippines,566,Equity,1995-02-01,,1995,2,PHL
Philippines,566,Debt,1995-02-01,,1995,2,PHL
Thailand,578,Total,1995-02-01,,1995,2,THA
Thailand,578,Equity,1995-02-01,,1995,2,THA
Thailand,578,Debt,1995-02-01,,1995,2,THA
Bulgaria,918,Total,1995-02-01,,1995,2,BGR
Bulgaria,918,Equity,1995-02-01,,1995,2,BGR
Bulgaria,918,Debt,1995-02-01,,1995,2,BGR
China,924,Total,1995-02-01,,1995,2,CHN
China,924,Equity,1995-02-01,,1995,2,CHN
China,924,Debt,1995-02-01,,1995,2,CHN
Ukraine,926,Total,1995-02-01,,1995,2,UKR
Ukraine,926,Equity,1995-02-01,,1995,2,UKR
Ukraine,926,Debt,1995-02-01,,1995,2,UKR
Czech Republic,935,Total,1995-02-01,,1995,2,CZE
Czech Republic,935,Equity,1995-02-01,,1995,2,CZE
Czech Republic,935,Debt,1995-02-01,,1995,2,CZE
Slovak Republic,936,Total,1995-02-01,,1995,2,SVK
Slovak Republic,936,Equity,1995-02-01,,1995,2,SVK
Slovak Republic,936,Debt,1995-02-01,,1995,2,SVK
Estonia,939,Total,1995-02-01,,1995,2,EST
Estonia,939,Equity,1995-02-01,,1995,2,EST
Estonia,939,Debt,1995-02-01,,1995,2,EST
Latvia,941,Total,1995-02-01,,1995,2,LVA
Latvia,941,Equity,1995-02-01,,1995,2,LVA
Latvia,941,Debt,1995-02-01,,1995,2,LVA
Serbia,942,Total,1995-02-01,,1995,2,SRB
Serbia,942,Equity,1995-02-01,,1995,2,SRB
Serbia,942,Debt,1995-02-01,,1995,2,SRB
Hungary,944,Total,1995-02-01,,1995,2,HUN
Hungary,944,Equity,1995-02-01,,1995,2,HUN
Hungary,944,Debt,1995-02-01,,1995,2,HUN
Lithuania,946,Total,1995-02-01,,1995,2,LTU
Lithuania,946,Equity,1995-02-01,,1995,2,LTU
Lithuania,946,Debt,1995-02-01,,1995,2,LTU
Mongolia,948,Total,1995-02-01,,1995,2,MNG
Mongolia,948,Equity,1995-02-01,,1995,2,MNG
Mongolia,948,Debt,1995-02-01,,1995,2,MNG
Slovenia,961,Total,1995-02-01,,1995,2,SVN
Slovenia,961,Equity,1995-02-01,,1995,2,SVN
Slovenia,961,Debt,1995-02-01,,1995,2,SVN
Croatia,960,Total,1995-02-01,,1995,2,HRV
Croatia,960,Equity,1995-02-01,,1995,2,HRV
Croatia,960,Debt,1995-02-01,,1995,2,HRV
North Macedonia,962,Total,1995-02-01,,1995,2,MKD
North Macedonia,962,Equity,1995-02-01,,1995,2,MKD
North Macedonia,962,Debt,1995-02-01,,1995,2,MKD
Poland,964,Total,1995-02-01,,1995,2,POL
Poland,964,Equity,1995-02-01,,1995,2,POL
Poland,964,Debt,1995-02-01,,1995,2,POL
Romania,968,Total,1995-02-01,,1995,2,ROU
Romania,968,Equity,1995-02-01,,1995,2,ROU
Romania,968,Debt,1995-02-01,,1995,2,ROU
Emerging Markets,200,Total,1995-03-01,-3617.4013055585665,1995,3,
Emerging Markets,200,Equity,1995-03-01,-1248.3225477387493,1995,3,
Emerging Markets,200,Debt,1995-03-01,-2369.078757819817,1995,3,
Turkey,186,Total,1995-03-01,-450,1995,3,TUR
Turkey,186,Equity,1995-03-01,-15,1995,3,TUR
Turkey,186,Debt,1995-03-01,-435,1995,3,TUR
South Africa,199,Total,1995-03-01,315.98869444143395,1995,3,ZAF
South Africa,199,Equity,1995-03-01,108.94245226125076,1995,3,ZAF
South Africa,199,Debt,1995-03-01,207.0462421801832,1995,3,ZAF
Brazil,223,Total,1995-03-01,-2424.69,1995,3,BRA
Brazil,223,Equity,1995-03-01,-1268.265,1995,3,BRA
Brazil,223,Debt,1995-03-01,-1156.425,1995,3,BRA
Chile,228,Total,1995-03-01,,1995,3,CHL
Chile,228,Equity,1995-03-01,,1995,3,CHL
Chile,228,Debt,1995-03-01,,1995,3,CHL
Mexico,273,Total,1995-03-01,,1995,3,MEX
Mexico,273,Equity,1995-03-01,,1995,3,MEX
Mexico,273,Debt,1995-03-01,-2114.3,1995,3,MEX
Lebanon,446,Total,1995-03-01,,1995,3,LBN
Lebanon,446,Equity,1995-03-01,,1995,3,LBN
Lebanon,446,Debt,1995-03-01,,1995,3,LBN
Sri Lanka,524,Total,1995-03-01,,1995,3,LKA
Sri Lanka,524,Equity,1995-03-01,,1995,3,LKA
Sri Lanka,524,Debt,1995-03-01,,1995,3,LKA
India,534,Total,1995-03-01,,1995,3,IND
India,534,Equity,1995-03-01,,1995,3,IND
India,534,Debt,1995-03-01,,1995,3,IND
Korea,542,Total,1995-03-01,1055.6,1995,3,KOR
Korea,542,Equity,1995-03-01,-74,1995,3,KOR
Korea,542,Debt,1995-03-01,1129.6,1995,3,KOR
Malaysia,548,Total,1995-03-01,,1995,3,MYS
Malaysia,548,Equity,1995-03-01,,1995,3,MYS
Malaysia,548,Debt,1995-03-01,,1995,3,MYS
Pakistan,564,Total,1995-03-01,,1995,3,PAK
Pakistan,564,Equity,1995-03-01,,1995,3,PAK
Pakistan,564,Debt,1995-03-01,,1995,3,PAK
Philippines,566,Total,1995-03-01,,1995,3,PHL
Philippines,566,Equity,1995-03-01,,1995,3,PHL
Philippines,566,Debt,1995-03-01,,1995,3,PHL
Thailand,578,Total,1995-03-01,,1995,3,THA
Thailand,578,Equity,1995-03-01,,1995,3,THA
Thailand,578,Debt,1995-03-01,,1995,3,THA
Bulgaria,918,Total,1995-03-01,,1995,3,BGR
Bulgaria,918,Equity,1995-03-01,,1995,3,BGR
Bulgaria,918,Debt,1995-03-01,,1995,3,BGR
China,924,Total,1995-03-01,,1995,3,CHN
China,924,Equity,1995-03-01,,1995,3,CHN
China,924,Debt,1995-03-01,,1995,3,CHN
Ukraine,926,Total,1995-03-01,,1995,3,UKR
Ukraine,926,Equity,1995-03-01,,1995,3,UKR
Ukraine,926,Debt,1995-03-01,,1995,3,UKR
Czech Republic,935,Total,1995-03-01,,1995,3,CZE
Czech Republic,935,Equity,1995-03-01,,1995,3,CZE
Czech Republic,935,Debt,1995-03-01,,1995,3,CZE
Slovak Republic,936,Total,1995-03-01,,1995,3,SVK
Slovak Republic,936,Equity,1995-03-01,,1995,3,SVK
Slovak Republic,936,Debt,1995-03-01,,1995,3,SVK
Estonia,939,Total,1995-03-01,,1995,3,EST
Estonia,939,Equity,1995-03-01,,1995,3,EST
Estonia,939,Debt,1995-03-01,,1995,3,EST
Latvia,941,Total,1995-03-01,,1995,3,LVA
Latvia,941,Equity,1995-03-01,,1995,3,LVA
Latvia,941,Debt,1995-03-01,,1995,3,LVA
Serbia,942,Total,1995-03-01,,1995,3,SRB
Serbia,942,Equity,1995-03-01,,1995,3,SRB
Serbia,942,Debt,1995-03-01,,1995,3,SRB
Hungary,944,Total,1995-03-01,,1995,3,HUN
Hungary,944,Equity,1995-03-01,,1995,3,HUN
Hungary,944,Debt,1995-03-01,,1995,3,HUN
Lithuania,946,Total,1995-03-01,,1995,3,LTU
Lithuania,946,Equity,1995-03-01,,1995,3,LTU
Lithuania,946,Debt,1995-03-01,,1995,3,LTU
Mongolia,948,Total,1995-03-01,,1995,3,MNG
Mongolia,948,Equity,1995-03-01,,1995,3,MNG
Mongolia,948,Debt,1995-03-01,,1995,3,MNG
Slovenia,961,Total,1995-03-01,,1995,3,SVN
Slovenia,961,Equity,1995-03-01,,1995,3,SVN
Slovenia,961,Debt,1995-03-01,,1995,3,SVN
Croatia,960,Total,1995-03-01,,1995,3,HRV
Croatia,960,Equity,1995-03-01,,1995,3,HRV
Croatia,960,Debt,1995-03-01,,1995,3,HRV
North Macedonia,962,Total,1995-03-01,,1995,3,MKD
North Macedonia,962,Equity,1995-03-01,,1995,3,MKD
North Macedonia,962,Debt,1995-03-01,,1995,3,MKD
Poland,964,Total,1995-03-01,,1995,3,POL
Poland,964,Equity,1995-03-01,,1995,3,POL
Poland,964,Debt,1995-03-01,,1995,3,POL
Romania,968,Total,1995-03-01,,1995,3,ROU
Romania,968,Equity,1995-03-01,,1995,3,ROU
Romania,968,Debt,1995-03-01,,1995,3,ROU
Emerging Markets,200,Total,1995-04-01,640.4544438998653,1995,4,
Emerging Markets,200,Equity,1995-04-01,327.74947775016307,1995,4,
Emerging Markets,200,Debt,1995-04-01,312.7049661497023,1995,4,
Turkey,186,Total,1995-04-01,186,1995,4,TUR
Turkey,186,Equity,1995-04-01,-14,1995,4,TUR
Turkey,186,Debt,1995-04-01,200,1995,4,TUR
South Africa,199,Total,1995-04-01,100.52344389986521,1995,4,ZAF
South Africa,199,Equity,1995-04-01,84.41747775016306,1995,4,ZAF
South Africa,199,Debt,1995-04-01,16.105966149702162,1995,4,ZAF
Brazil,223,Total,1995-04-01,192.431,1995,4,BRA
Brazil,223,Equity,1995-04-01,174.632,1995,4,BRA
Brazil,223,Debt,1995-04-01,17.799,1995,4,BRA
Chile,228,Total,1995-04-01,,1995,4,CHL
Chile,228,Equity,1995-04-01,,1995,4,CHL
Chile,228,Debt,1995-04-01,,1995,4,CHL
Mexico,273,Total,1995-04-01,,1995,4,MEX
Mexico,273,Equity,1995-04-01,,1995,4,MEX
Mexico,273,Debt,1995-04-01,-858.3,1995,4,MEX
Lebanon,446,Total,1995-04-01,,1995,4,LBN
Lebanon,446,Equity,1995-04-01,,1995,4,LBN
Lebanon,446,Debt,1995-04-01,,1995,4,LBN
Sri Lanka,524,Total,1995-04-01,,1995,4,LKA
Sri Lanka,524,Equity,1995-04-01,,1995,4,LKA
Sri Lanka,524,Debt,1995-04-01,,1995,4,LKA
India,534,Total,1995-04-01,,1995,4,IND
India,534,Equity,1995-04-01,,1995,4,IND
India,534,Debt,1995-04-01,,1995,4,IND
Korea,542,Total,1995-04-01,1019.8000000000001,1995,4,KOR
Korea,542,Equity,1995-04-01,82.7,1995,4,KOR
Korea,542,Debt,1995-04-01,937.1,1995,4,KOR
Malaysia,548,Total,1995-04-01,,1995,4,MYS
Malaysia,548,Equity,1995-04-01,,1995,4,MYS
Malaysia,548,Debt,1995-04-01,,1995,4,MYS
Pakistan,564,Total,1995-04-01,,1995,4,PAK
Pakistan,564,Equity,1995-04-01,,1995,4,PAK
Pakistan,564,Debt,1995-04-01,,1995,4,PAK
Philippines,566,Total,1995-04-01,,1995,4,PHL
Philippines,566,Equity,1995-04-01,,1995,4,PHL
Philippines,566,Debt,1995-04-01,,1995,4,PHL
Thailand,578,Total,1995-04-01,,1995,4,THA
Thailand,578,Equity,1995-04-01,,1995,4,THA
Thailand,578,Debt,1995-04-01,,1995,4,THA
Bulgaria,918,Total,1995-04-01,,1995,4,BGR
Bulgaria,918,Equity,1995-04-01,,1995,4,BGR
Bulgaria,918,Debt,1995-04-01,,1995,4,BGR
China,924,Total,1995-04-01,,1995,4,CHN
China,924,Equity,1995-04-01,,1995,4,CHN
China,924,Debt,1995-04-01,,1995,4,CHN
Ukraine,926,Total,1995-04-01,,1995,4,UKR
Ukraine,926,Equity,1995-04-01,,1995,4,UKR
Ukraine,926,Debt,1995-04-01,,1995,4,UKR
Czech Republic,935,Total,1995-04-01,,1995,4,CZE
Czech Republic,935,Equity,1995-04-01,,1995,4,CZE
Czech Republic,935,Debt,1995-04-01,,1995,4,CZE
Slovak Republic,936,Total,1995-04-01,,1995,4,SVK
Slovak Republic,936,Equity,1995-04-01,,1995,4,SVK
Slovak Republic,936,Debt,1995-04-01,,1995,4,SVK
Estonia,939,Total,1995-04-01,,1995,4,EST
Estonia,939,Equity,1995-04-01,,1995,4,EST
Estonia,939,Debt,1995-04-01,,1995,4,EST
Latvia,941,Total,1995-04-01,,1995,4,LVA
Latvia,941,Equity,1995-04-01,,1995,4,LVA
Latvia,941,Debt,1995-04-01,,1995,4,LVA
Serbia,942,Total,1995-04-01,,1995,4,SRB
Serbia,942,Equity,1995-04-01,,1995,4,SRB
Serbia,942,Debt,1995-04-01,,1995,4,SRB
Hungary,944,Total,1995-04-01,,1995,4,HUN
Hungary,944,Equity,1995-04-01,,1995,4,HUN
Hungary,944,Debt,1995-04-01,,1995,4,HUN
Lithuania,946,Total,1995-04-01,,1995,4,LTU
Lithuania,946,Equity,1995-04-01,,1995,4,LTU
Lithuania,946,Debt,1995-04-01,,1995,4,LTU
Mongolia,948,Total,1995-04-01,,1995,4,MNG
Mongolia,948,Equity,1995-04-01,,1995,4,MNG
Mongolia,948,Debt,1995-04-01,,1995,4,MNG
Slovenia,961,Total,1995-04-01,,1995,4,SVN
Slovenia,961,Equity,1995-04-01,,1995,4,SVN
Slovenia,961,Debt,1995-04-01,,1995,4,SVN
Croatia,960,Total,1995-04-01,,1995,4,HRV
Croatia,960,Equity,1995-04-01,,1995,4,HRV
Croatia,960,Debt,1995-04-01,,1995,4,HRV
North Macedonia,962,Total,1995-04-01,,1995,4,MKD
North Macedonia,962,Equity,1995-04-01,,1995,4,MKD
North Macedonia,962,Debt,1995-04-01,,1995,4,MKD
Poland,964,Total,1995-04-01,,1995,4,POL
Poland,964,Equity,1995-04-01,,1995,4,POL
Poland,964,Debt,1995-04-01,,1995,4,POL
Romania,968,Total,1995-04-01,,1995,4,ROU
Romania,968,Equity,1995-04-01,,1995,4,ROU
Romania,968,Debt,1995-04-01,,1995,4,ROU
Emerging Markets,200,Total,1995-05-01,961.2068250813809,1995,5,
Emerging Markets,200,Equity,1995-05-01,1297.3518933455052,1995,5,
Emerging Markets,200,Debt,1995-05-01,-336.14506826412435,1995,5,
Turkey,186,Total,1995-05-01,-507,1995,5,TUR
Turkey,186,Equity,1995-05-01,18,1995,5,TUR
Turkey,186,Debt,1995-05-01,-525,1995,5,TUR
South Africa,199,Total,1995-05-01,268.1258250813809,1995,5,ZAF
South Africa,199,Equity,1995-05-01,241.61389334550532,1995,5,ZAF
South Africa,199,Debt,1995-05-01,26.511931735875585,1995,5,ZAF
Brazil,223,Total,1995-05-01,1364.681,1995,5,BRA
Brazil,223,Equity,1995-05-01,1101.638,1995,5,BRA
Brazil,223,Debt,1995-05-01,263.043,1995,5,BRA
Chile,228,Total,1995-05-01,,1995,5,CHL
Chile,228,Equity,1995-05-01,,1995,5,CHL
Chile,228,Debt,1995-05-01,,1995,5,CHL
Mexico,273,Total,1995-05-01,,1995,5,MEX
Mexico,273,Equity,1995-05-01,,1995,5,MEX
Mexico,273,Debt,1995-05-01,-1442.1,1995,5,MEX
Lebanon,446,Total,1995-05-01,,1995,5,LBN
Lebanon,446,Equity,1995-05-01,,1995,5,LBN
Lebanon,446,Debt,1995-05-01,,1995,5,LBN
Sri Lanka,524,Total,1995-05-01,,1995,5,LKA
Sri Lanka,524,Equity,1995-05-01,,1995,5,LKA
Sri Lanka,524,Debt,1995-05-01,,1995,5,LKA
India,534,Total,1995-05-01,,1995,5,IND
India,534,Equity,1995-05-01,,1995,5,IND
India,534,Debt,1995-05-01,,1995,5,IND
Korea,542,Total,1995-05-01,1277.5,1995,5,KOR
Korea,542,Equity,1995-05-01,-63.9,1995,5,KOR
Korea,542,Debt,1995-05-01,1341.4,1995,5,KOR
Malaysia,548,Total,1995-05-01,,1995,5,MYS
Malaysia,548,Equity,1995-05-01,,1995,5,MYS
Malaysia,548,Debt,1995-05-01,,1995,5,MYS
Pakistan,564,Total,1995-05-01,,1995,5,PAK
Pakistan,564,Equity,1995-05-01,,1995,5,PAK
Pakistan,564,Debt,1995-05-01,,1995,5,PAK
Philippines,566,Total,1995-05-01,,1995,5,PHL
Philippines,566,Equity,1995-05-01,,1995,5,PHL
Philippines,566,Debt,1995-05-01,,1995,5,PHL
Thailand,578,Total,1995-05-01,,1995,5,THA
Thailand,578,Equity,1995-05-01,,1995,5,THA
Thailand,578,Debt,1995-05-01,,1995,5,THA
Bulgaria,918,Total,1995-05-01,,1995,5,BGR
Bulgaria,918,Equity,1995-05-01,,1995,5,BGR
Bulgaria,918,Debt,1995-05-01,,1995,5,BGR
China,924,Total,1995-05-01,,1995,5,CHN
China,924,Equity,1995-05-01,,1995,5,CHN
China,924,Debt,1995-05-01,,1995,5,CHN
Ukraine,926,Total,1995-05-01,,1995,5,UKR
Ukraine,926,Equity,1995-05-01,,1995,5,UKR
Ukraine,926,Debt,1995-05-01,,1995,5,UKR
Czech Republic,935,Total,1995-05-01,,1995,5,CZE
Czech Republic,935,Equity,1995-05-01,,1995,5,CZE
Czech Republic,935,Debt,1995-05-01,,1995,5,CZE
Slovak Republic,936,Total,1995-05-01,,1995,5,SVK
Slovak Republic,936,Equity,1995-05-01,,1995,5,SVK
Slovak Republic,936,Debt,1995-05-01,,1995,5,SVK
Estonia,939,Total,1995-05-01,,1995,5,EST
